CODICE_ISTAT;Territorio;ist3_18;ist3_19;ist3_20;ist3_21
1001;Agliè;0,116995074;0,112118714;0,125847458;0,129140461
1002;Airasca;0,07994012;0,082105263;0,088296296;0,092004703
1003;Ala di Stura;0,084134615;0,086746988;0,094907407;0,104783599
1004;Albiano d'Ivrea;0,099740933;0,093548387;0,104681404;0,109597925
1005;Alice Superiore;0,101341282;;;
1006;Almese;0,152293578;0,151757455;0,164307381;0,16871942
1007;Alpette;0,088235294;0,0875;0,073275862;0,077586207
1008;Alpignano;0,115442751;0,117083622;0,119661433;0,125152664
1009;Andezeno;0,121244635;0,122621564;0,125601283;0,139448568
1010;Andrate;0,104121475;0,111353712;0,112798265;0,131403118
1011;Angrogna;0,108074534;0,1225;0,113065327;0,122012579
1012;Arignano;0,121782178;0,117125984;0,118055556;0,12611718
1013;Avigliana;0,148176748;0,148223869;0,155615345;0,162935431
1014;Azeglio;0,102564103;0,103270224;0,108131488;0,111870196
1015;Bairo;0,091644205;0,094666667;0,102702703;0,111716621
1016;Balangero;0,100777815;0,095108696;0,106145251;0,111807732
1017;Baldissero Canavese;0,124260355;0,113590264;0,107070707;0,110663984
1018;Baldissero Torinese;0,23138063;0,227245863;0,244495944;0,25134599
1019;Balme;0,098039216;0,104761905;0,097087379;0,101010101
1020;Banchette;0,135802469;0,135514019;0,145392491;0,148732008
1021;Barbania;0,091467577;0,089673913;0,094949495;0,091156463
1022;Bardonecchia;0,154891304;0,162877503;0,161434978;0,170969993
1023;Barone Canavese;0,111310592;0,112932605;0,121722846;0,129032258
1024;Beinasco;0,098055689;0,096704224;0,100683844;0,106140137
1025;Bibiana;0,082091918;0,082234777;0,085568327;0,083439898
1026;Bobbio Pellice;0,088757396;0,085106383;0,090729783;0,09270217
1027;Bollengo;0,121182266;0,128;0,131055584;0,144020356
1028;Borgaro Torinese;0,092894186;0,095064651;0,09813299;0,102789209
1029;Borgiallo;0,085551331;0,094517958;0,096654275;0,092278719
1030;Borgofranco d'Ivrea;0,099586288;0,10130719;0,10625;0,108448173
1031;Borgomasino;0,092140921;0,093457944;0,10123119;0,091780822
1032;Borgone Susa;0,090072639;0,087040619;0,089705882;0,098165592
1033;Bosconero;0,07972028;0,076491228;0,080014099;0,083953241
1034;Brandizzo;0,088680698;0,088953932;0,097118728;0,095363409
1035;Bricherasio;0,107771777;0,101343389;0,107794362;0,113556544
1036;Brosso;0,085333333;0,080939948;0,091623037;0,093582888
1037;Brozolo;0,123486683;0,126190476;0,138497653;0,15862069
1038;Bruino;0,113434331;0,114809697;0,125221575;0,130883463
1039;Brusasco;0,085553997;0,070972321;0,083333333;0,082036775
1040;Bruzolo;0,085271318;0,094661922;0,0891445;0,098207885
1041;Buriasco;0,09542903;0,099920064;0,112550607;0,109412711
1042;Burolo;0,144310823;0,149393091;0,166202414;0,163653663
1043;Busano;0,071913161;0,073698445;0,073022312;0,079568442
1044;Bussoleno;0,113840086;0,112570699;0,122050901;0,127922199
1045;Buttigliera Alta;0,132556569;0,13886998;0,14422912;0,150656884
1046;Cafasse;0,097090449;0,101366381;0,109693878;0,112110504
1047;Caluso;0,110648082;0,107117078;0,114302376;0,117273252
1048;Cambiano;0,12466464;0,125423125;0,132815323;0,134778681
1049;Campiglione Fenile;0,074373484;0,075502008;0,08373591;0,086429725
1050;Candia Canavese;0,10894597;0,112007168;0,1271777;0,126748252
1051;Candiolo;0,119760479;0,122786759;0,12822985;0,135171616
1052;Canischio;0,034220532;0,022900763;0,03030303;0,033088235
1053;Cantalupa;0,143264143;0,146962233;0,155215232;0,167485667
1054;Cantoira;0,092936803;0,103074141;0,114545455;0,107913669
1055;Caprie;0,111688312;0,113957135;0,108490566;0,122129436
1056;Caravino;0,08168028;0,083040936;0,088269454;0,089534884
1057;Carema;0,081920904;0,072340426;0,073421439;0,079062958
1058;Carignano;0,10547287;0,106156367;0,11053069;0,11412657
1059;Carmagnola;0,095931789;0,096732326;0,101761103;0,106076841
1060;Casalborgone;0,142045455;0,144388043;0,146674247;0,156907334
1061;Cascinette d'Ivrea;0,171266808;0,160424028;0,167714885;0,167605634
1062;Caselette;0,111868053;0,111825652;0,118406889;0,128450106
1063;Caselle Torinese;0,096972564;0,099262976;0,102995811;0,10738623
1064;Castagneto Po;0,198905109;0,193133047;0,211550152;0,215532812
1065;Castagnole Piemonte;0,082118562;0,07790927;0,078304239;0,087235091
1066;Castellamonte;0,100032584;0,105689278;0,106960196;0,110583297
1067;Castelnuovo Nigra;0,059952038;0,074812968;0,070175439;0,077720207
1068;Castiglione Torinese;0,164315353;0,172522898;0,177346495;0,184957662
1069;Cavagnolo;0,091927205;0,094117647;0,104757328;0,102453102
1070;Cavour;0,078730905;0,085377821;0,092396727;0,091944833
