CODICE_ISTAT;Territorio;str2021;popolazione2021;stranieri2021
1001;Agliè;238;2562;0,092896175
1002;Airasca;297;3660;0,081147541
1003;Ala di Stura;4;467;0,00856531
1004;Albiano d'Ivrea;98;1637;0,059865608
1006;Almese;287;6331;0,045332491
1007;Alpette;11;240;0,045833333
1008;Alpignano;918;16501;0,055632992
1009;Andezeno;176;2036;0,086444008
1010;Andrate;32;474;0,067510549
1011;Angrogna;22;827;0,026602177
1012;Arignano;40;1072;0,037313433
1013;Avigliana;655;12350;0,053036437
1014;Azeglio;71;1240;0,057258065
1015;Bairo;29;790;0,036708861
1016;Balangero;118;3064;0,038511749
1017;Baldissero Canavese;26;530;0,049056604
1018;Baldissero Torinese;130;3755;0,034620506
1019;Balme;1;105;0,00952381
1020;Banchette;393;3085;0,1273906
1021;Barbania;87;1570;0,055414013
1022;Bardonecchia;326;3044;0,107095926
1023;Barone Canavese;24;556;0,043165468
1024;Beinasco;1034;17464;0,059207513
1025;Bibiana;339;3378;0,10035524
1026;Bobbio Pellice;20;539;0,037105751
1027;Bollengo;119;2098;0,056720686
1028;Borgaro Torinese;451;11827;0,038133085
1029;Borgiallo;76;582;0,130584192
1030;Borgofranco d'Ivrea;253;3555;0,07116737
1031;Borgomasino;62;773;0,080206986
1032;Borgone Susa;110;2151;0,051139005
1033;Bosconero;186;3066;0,060665362
1034;Brandizzo;454;8701;0,052177911
1035;Bricherasio;188;4616;0,040727903
1036;Brosso;8;394;0,020304569
1037;Brozolo;25;454;0,055066079
1038;Bruino;314;8489;0,036989045
1039;Brusasco;81;1490;0,054362416
1040;Bruzolo;58;1492;0,038873995
1041;Buriasco;51;1337;0,038145101
1042;Burolo;57;1105;0,05158371
1043;Busano;110;1622;0,067817509
1044;Bussoleno;369;5652;0,065286624
1045;Buttigliera Alta;306;6304;0,048540609
1046;Cafasse;214;3310;0,064652568
1047;Caluso;640;7388;0,086626963
1048;Cambiano;210;5900;0,03559322
1049;Campiglione Fenile;66;1330;0,04962406
1050;Candia Canavese;108;1209;0,089330025
1051;Candiolo;212;5610;0,037789661
1052;Canischio;7;286;0,024475524
1053;Cantalupa;74;2602;0,028439662
1054;Cantoira;20;596;0,033557047
1055;Caprie;54;2060;0,026213592
1056;Caravino;40;901;0,044395117
1057;Carema;43;739;0,058186739
1058;Carignano;796;9052;0,087936368
1059;Carmagnola;2601;28313;0,091865927
1060;Casalborgone;100;1855;0,053908356
1061;Cascinette d'Ivrea;151;1524;0,099081365
1062;Caselette;156;3034;0,051417271
1063;Caselle Torinese;895;13834;0,064695677
1064;Castagneto Po;98;1763;0,055587067
1065;Castagnole Piemonte;162;2179;0,07434603
1066;Castellamonte;1062;9695;0,109541001
1067;Castelnuovo Nigra;28;401;0,069825436
1068;Castiglione Torinese;250;6469;0,038645849
1069;Cavagnolo;131;2226;0,058849955
1070;Cavour;388;5374;0,072199479
1071;Cercenasco;85;1782;0,047699214
1072;Ceres;105;1017;0,103244838
1073;Ceresole Reale;8;159;0,050314465
1074;Cesana Torinese;78;913;0,08543264
1075;Chialamberto;18;344;0,052325581
1076;Chianocco;81;1552;0,052190722
1077;Chiaverano;81;1985;0,040806045
1078;Chieri;3303;35916;0,091964584
1079;Chiesanuova;51;231;0,220779221
1080;Chiomonte;48;870;0,055172414
1081;Chiusa di San Michele;136;1556;0,087403599
1082;Chivasso;1974;26275;0,075128449
1083;Ciconio;7;364;0,019230769
1084;Cintano;21;240;0,0875
1085;Cinzano;18;323;0,055727554
1086;Ciriè;1162;18212;0,063804085
1087;Claviere;34;204;0,166666667
1088;Coassolo Torinese;54;1444;0,037396122
1089;Coazze;264;3218;0,082038533
1090;Collegno;2694;48574;0,05546177
1091;Colleretto Castelnuovo;74;312;0,237179487
1092;Colleretto Giacosa;36;596;0,060402685
1093;Condove;138;4437;0,031102096
1094;Corio;161;3048;0,052821522
1095;Cossano Canavese;22;440;0,05
1096;Cuceglio;84;930;0,090322581
1097;Cumiana;380;7821;0,048587137
1098;Cuorgnè;1101;9411;0,116990755
1099;Druento;547;8973;0,06096066
1100;Exilles;16;241;0,066390041
1101;Favria;418;5115;0,08172043
1102;Feletto;273;2190;0,124657534
1103;Fenestrelle;16;481;0,033264033
1104;Fiano;119;2679;0,04441956
1105;Fiorano Canavese;25;735;0,034013605
1106;Foglizzo;155;2265;0,068432671
1107;Forno Canavese;333;3230;0,103095975
1108;Frassinetto;;279;
1109;Front;96;1613;0,059516429
1110;Frossasco;140;2799;0,050017864
1111;Garzigliana;13;530;0,024528302
1112;Gassino Torinese;706;9361;0,075419293
1113;Germagnano;108;1120;0,096428571
1114;Giaglione;9;592;0,015202703
1115;Giaveno;1183;16214;0,072961638
1116;Givoletto;126;4095;0,030769231
1117;Gravere;34;666;0,051051051
1118;Groscavallo;2;191;0,010471204
1119;Grosso;49;987;0,04964539
1120;Grugliasco;1566;37090;0,042221623
1121;Ingria;1;42;0,023809524
1122;Inverso Pinasca;27;697;0,038737446
1123;Isolabella;9;375;0,024
1124;Issiglio;22;409;0,053789731
1125;Ivrea;1955;22604;0,086489117
1126;La Cassa;51;1773;0,028764805
1127;La Loggia;263;8779;0,029957854
1128;Lanzo Torinese;356;4893;0,072757
1129;Lauriano;80;1401;0,05710207
1130;Leini;1080;16321;0,066172416
1131;Lemie;24;185;0,12972973
1132;Lessolo;76;1777;0,042768711
1133;Levone;46;443;0,103837472
1134;Locana;44;1339;0,032860344
1135;Lombardore;65;1670;0,038922156
1136;Lombriasco;110;1090;0,100917431
1137;Loranzè;43;1149;0,037423847
1139;Luserna San Giovanni;827;7162;0,115470539
1140;Lusernetta;10;480;0,020833333
1141;Lusigliè;25;541;0,046210721
1142;Macello;57;1155;0,049350649
1143;Maglione;16;419;0,038186158
1144;Marentino;31;1300;0,023846154
1145;Massello;1;57;0,01754386
1146;Mathi;235;3777;0,062218692
1147;Mattie;29;658;0,044072948
1148;Mazzè;264;4181;0,063142789
1149;Meana di Susa;30;805;0,037267081
1150;Mercenasco;252;1291;0,195197521
1152;Mezzenile;23;736;0,03125
1153;Mombello di Torino;33;387;0,085271318
1154;Mompantero;14;642;0,021806854
1155;Monastero di Lanzo;5;328;0,015243902
1156;Moncalieri;5252;56193;0,093463599
1157;Moncenisio;;41;
1158;Montaldo Torinese;29;736;0,039402174
1159;Montalenghe;91;970;0,093814433
1160;Montalto Dora;238;3304;0,072033898
1161;Montanaro;206;5118;0,040250098
1162;Monteu da Po;95;858;0,110722611
1163;Moriondo Torinese;58;853;0,067995311
1164;Nichelino;2895;46458;0,062314348
1165;Noasca;5;107;0,046728972
1166;Nole;344;6803;0,050565927
1167;Nomaglio;11;283;0,038869258
1168;None;422;7830;0,053895275
1169;Novalesa;11;516;0,021317829
1170;Oglianico;69;1455;0,04742268
1171;Orbassano;1066;23044;0,04625933
1172;Orio Canavese;33;756;0,043650794
1173;Osasco;21;1153;0,018213356
1174;Osasio;36;936;0,038461538
1175;Oulx;323;3293;0,098086851
1176;Ozegna;40;1176;0,034013605
1177;Palazzo Canavese;52;839;0,061978546
1178;Pancalieri;295;1992;0,148092369
1179;Parella;18;412;0,04368932
1180;Pavarolo;61;1148;0,053135889
1181;Pavone Canavese;165;3635;0,045392022
1183;Pecetto Torinese;264;4046;0,065249629
1184;Perosa Argentina;236;3094;0,076276665
1185;Perosa Canavese;15;525;0,028571429
1186;Perrero;30;583;0,051457976
1187;Pertusio;26;752;0,034574468
1188;Pessinetto;33;608;0,054276316
1189;Pianezza;497;15449;0,032170367
1190;Pinasca;110;2853;0,038555906
1191;Pinerolo;3129;35440;0,088290068
1192;Pino Torinese;464;8333;0,055682227
1193;Piobesi Torinese;135;3818;0,035358827
1194;Piossasco;849;18087;0,046939791
1195;Piscina;151;3319;0,045495631
1196;Piverone;43;1302;0,033026114
1197;Poirino;685;10179;0,067295412
1198;Pomaretto;58;971;0,059732235
1199;Pont Canavese;306;3087;0,099125364
1200;Porte;109;1079;0,101019462
1201;Pragelato;198;735;0,269387755
1202;Prali;1;249;0,004016064
1203;Pralormo;173;1899;0,091100579
1204;Pramollo;10;222;0,045045045
1205;Prarostino;18;1255;0,014342629
1206;Prascorsano;13;726;0,017906336
1207;Pratiglione;38;458;0,082969432
1208;Quagliuzzo;42;333;0,126126126
1209;Quassolo;19;339;0,056047198
1210;Quincinetto;30;992;0,030241935
1211;Reano;55;1753;0,031374786
1212;Ribordone;;49;
1213;Rivalba;55;1158;0,047495682
1214;Rivalta di Torino;1171;20172;0,058050763
1215;Riva presso Chieri;177;4750;0,037263158
1216;Rivara;180;2496;0,072115385
1217;Rivarolo Canavese;886;12280;0,072149837
1218;Rivarossa;98;1548;0,063307494
1219;Rivoli;2194;47481;0,046207957
1220;Robassomero;112;3052;0,036697248
1221;Rocca Canavese;112;1667;0,067186563
1222;Roletto;88;1988;0,044265594
1223;Romano Canavese;128;2642;0,048448145
1224;Ronco Canavese;19;293;0,064846416
1225;Rondissone;96;1849;0,051919957
1226;Rorà;7;227;0,030837004
1227;Roure;18;765;0,023529412
1228;Rosta;188;5056;0,037183544
1229;Rubiana;172;2391;0,071936428
1230;Rueglio;23;788;0,029187817
1231;Salassa;99;1792;0,055245536
1232;Salbertrand;101;605;0,166942149
1233;Salerano Canavese;27;458;0,058951965
1234;Salza di Pinerolo;8;74;0,108108108
1235;Samone;82;1468;0,055858311
1236;San Benigno Canavese;321;5999;0,053508918
1237;San Carlo Canavese;128;4010;0,0319202
1238;San Colombano Belmonte;16;358;0,044692737
1239;San Didero;9;516;0,01744186
1240;San Francesco al Campo;181;4847;0,037342686
1241;Sangano;116;3686;0,031470429
1242;San Germano Chisone;75;1691;0,044352454
1243;San Gillio;117;3217;0,036369288
1244;San Giorgio Canavese;176;2534;0,069455406
1245;San Giorio di Susa;48;987;0,048632219
1246;San Giusto Canavese;231;3261;0,070837167
1247;San Martino Canavese;43;811;0,053020962
1248;San Maurizio Canavese;374;10228;0,036566289
1249;San Mauro Torinese;876;18635;0,047008318
1250;San Pietro Val Lemina;71;1457;0,048730268
1251;San Ponso;8;248;0,032258065
1252;San Raffaele Cimena;173;3146;0,054990464
1253;San Sebastiano da Po;108;1861;0,058033315
1254;San Secondo di Pinerolo;116;3597;0,032249096
1255;Sant'Ambrogio di Torino;438;4597;0,09527953
