CODICE_ISTAT;Denominazione (italiana e straniera);superficie;Popolazione legale 2011 (09/10/2011);zona_altimetrica;altitudine;litoraneo;isolano;costiero;grado_urbanizzazione
1001;Agliè;13,15;2.644;3;315;0;0;0;2
1002;Airasca;15,74;3.819;5;257;0;0;0;3
1003;Ala di Stura;46,33;462;1;1.080;0;0;0;3
1004;Albiano d'Ivrea;11,73;1.791;3;230;0;0;0;3
1005;Alice Superiore;7,38;701;3;610;0;0;0;3
1006;Almese;17,88;6.303;3;364;0;0;0;2
1007;Alpette;5,63;277;1;957;0;0;0;3
1008;Alpignano;11,92;16.893;3;314;0;0;0;2
1009;Andezeno;7,49;1.966;3;306;0;0;0;3
1010;Andrate;9,31;512;1;836;0;0;0;3
1011;Angrogna;38,88;870;1;782;0;0;0;3
1012;Arignano;8,17;1.039;3;321;0;0;0;3
1013;Avigliana;23,22;12.129;3;383;0;0;0;2
1014;Azeglio;9,96;1.347;3;260;0;0;0;3
1015;Bairo;7,09;816;3;365;0;0;0;3
1016;Balangero;13,01;3.161;3;440;0;0;0;2
1017;Baldissero Canavese;4,51;534;3;392;0;0;0;3
1018;Baldissero Torinese;15,41;3.783;3;421;0;0;0;3
1019;Balme;62,71;95;1;1.432;0;0;0;3
1020;Banchette;2,03;3.280;3;266;0;0;0;2
1021;Barbania;12,8;1.623;3;362;0;0;0;3
1022;Bardonecchia;132,2;3.212;1;1.312;0;0;0;3
1023;Barone Canavese;3,99;599;3;325;0;0;0;3
1024;Beinasco;6,73;18.104;5;265;0;0;0;2
1025;Bibiana;18,6;3.376;3;406;0;0;0;2
1026;Bobbio Pellice;94,08;566;1;732;0;0;0;3
1027;Bollengo;14,22;2.112;3;255;0;0;0;3
1028;Borgaro Torinese;11,1;11.723;5;254;0;0;0;2
1029;Borgiallo;6,96;550;1;540;0;0;0;3
1030;Borgofranco d'Ivrea;13,42;3.643;3;253;0;0;0;3
1031;Borgomasino;12,37;835;3;260;0;0;0;3
1032;Borgone Susa;4,96;2.320;1;394;0;0;0;2
1033;Bosconero;10,92;3.056;5;240;0;0;0;3
1034;Brandizzo;6,29;8.402;5;187;0;0;0;2
1035;Bricherasio;22,76;4.517;3;400;0;0;0;2
1036;Brosso;11,14;460;1;797;0;0;0;3
1037;Brozolo;8,95;471;3;360;0;0;0;3
1038;Bruino;5,57;8.479;3;320;0;0;0;2
1039;Brusasco;14,36;1.726;3;170;0;0;0;3
1040;Bruzolo;12,56;1.545;1;455;0;0;0;2
1041;Buriasco;14,69;1.405;5;301;0;0;0;3
1042;Burolo;5,48;1.228;3;276;0;0;0;3
1043;Busano;5,06;1.588;5;317;0;0;0;3
1044;Bussoleno;37,07;6.363;1;440;0;0;0;2
1045;Buttigliera Alta;8,1;6.386;3;414;0;0;0;2
1046;Cafasse;10,23;3.511;3;409;0;0;0;2
1047;Caluso;39,49;7.483;5;303;0;0;0;2
1048;Cambiano;14,13;6.215;5;253;0;0;0;2
1049;Campiglione Fenile;11,09;1.382;5;365;0;0;0;3
1050;Candia Canavese;9,13;1.286;3;285;0;0;0;3
1051;Candiolo;11,85;5.566;5;237;0;0;0;2
1052;Canischio;11,95;294;1;659;0;0;0;3
1053;Cantalupa;11,2;2.527;3;459;0;0;0;3
1054;Cantoira;23,03;554;1;750;0;0;0;3
1055;Caprie;16,41;2.116;1;374;0;0;0;3
1056;Caravino;11,54;995;3;257;0;0;0;3
1057;Carema;10,26;772;1;349;0;0;0;3
1058;Carignano;50,68;9.156;5;235;0;0;0;2
1059;Carmagnola;95,71;28.563;5;240;0;0;0;2
1060;Casalborgone;20,13;1.820;3;205;0;0;0;3
1061;Cascinette d'Ivrea;2,17;1.491;3;239;0;0;0;2
1062;Caselette;14,31;2.931;3;405;0;0;0;3
1063;Caselle Torinese;23,55;13.389;5;277;0;0;0;2
1064;Castagneto Po;11,47;1.791;3;473;0;0;0;3
1065;Castagnole Piemonte;17,28;2.193;5;244;0;0;0;3
1066;Castellamonte;38,71;9.917;3;343;0;0;0;2
1067;Castelnuovo Nigra;28,38;417;1;828;0;0;0;3
1068;Castiglione Torinese;14,13;6.363;3;216;0;0;0;2
1069;Cavagnolo;12,33;2.309;3;177;0;0;0;3
1070;Cavour;48,96;5.568;5;300;0;0;0;3
1071;Cercenasco;13,16;1.857;5;256;0;0;0;3
1072;Ceres;28,05;1.056;1;704;0;0;0;3
1073;Ceresole Reale;99,81;159;1;1.620;0;0;0;3
1074;Cesana Torinese;121,7;1.007;1;1.354;0;0;0;3
1075;Chialamberto;35,45;364;1;851;0;0;0;3
1076;Chianocco;18,61;1.700;1;550;0;0;0;2
1077;Chiaverano;12,02;2.106;3;329;0;0;0;3
1078;Chieri;54,2;35.962;5;283;0;0;0;2
1079;Chiesanuova;4,12;203;1;664;0;0;0;3
1080;Chiomonte;26,75;932;1;750;0;0;0;3
1081;Chiusa di San Michele;5,92;1.691;1;378;0;0;0;2
1082;Chivasso;51,24;25.914;5;183;0;0;0;2
